date,open,high,low,close,volume,market cap
2014-03-26,585.026,585.438,572.605,583.917,20424957.013888888,7263109223.054356
2014-03-27,583.482,590.028,570.963,580.827,15706614.427860696,7302344076.547638
2014-03-28,580.257,580.56,471.239,471.239,35475810.37037037,6791472293.168898
2014-03-29,477.143,526.023,473.234,495.666,75398755.06072874,6315944296.191547
2014-03-30,501.713,504.859,489.734,491.172,24921434.939271256,6350288606.788746
2014-03-31,492.372,492.372,444.179,460.273,25007250.37313433,5900211133.428395
2014-04-01,462.299,483.022,443.365,457.001,46448404.87804878,5756889064.164937
2014-04-02,457.0,495.343,457.0,478.375,30041358.156028368,5998615252.71263
2014-04-03,479.137,495.045,431.269,437.14,33959281.81818182,5872691500.069672
2014-04-04,436.444,449.565,414.89,444.718,53592427.11267605,5457878476.537804
2014-04-05,445.664,454.652,429.091,447.526,30892161.324041814,5582762860.993133
2014-04-06,446.675,463.571,444.197,461.907,17020784.375,5688510905.385484
2014-04-07,463.397,466.319,452.97,460.499,11486721.527777778,5799666042.826808
2014-04-08,461.474,462.564,445.122,449.423,12078620.731707318,5733278721.288774
2014-04-09,447.613,457.424,446.114,453.086,14037298.021201411,5709315677.858102
2014-04-10,453.177,455.728,441.933,442.725,11066679.895470385,5673128492.027857
2014-04-11,442.256,443.366,358.732,365.176,32636740.277777776,5161198426.437902
2014-04-12,363.71,429.767,351.816,420.947,73670357.14285715,5101026477.287789
2014-04-13,420.889,439.606,415.789,421.116,34810648.958333336,5378662463.033789
2014-04-14,421.461,427.398,395.254,414.063,15528146.180555556,5262634566.070513
2014-04-15,414.828,469.751,407.373,458.787,41624579.298245616,5634258397.876184
2014-04-16,458.373,518.996,453.543,515.586,48152451.84397163,6152808781.20645
2014-04-17,522.185,542.378,502.781,527.395,54356754.16725979,6535677068.348081
2014-04-18,529.067,533.517,484.874,495.963,44005150.6993007,6395758113.893819
2014-04-19,495.798,498.601,472.741,479.645,24792255.74912892,6148960573.576315
2014-04-20,479.582,503.555,470.561,501.565,20064121.875,6222847890.745991
2014-04-21,501.751,510.871,490.84,498.168,15292310.069444444,6356766518.460966
2014-04-22,497.739,510.568,493.201,495.773,14247268.531468531,6340714412.305739
2014-04-23,495.455,503.222,487.58,487.924,12763944.097222222,6270357171.891746
2014-04-24,488.359,493.249,485.817,491.303,10862710.462633451,6211058966.771417
2014-04-25,490.825,500.465,482.952,500.465,10362477.102473496,6219179982.514829
2014-04-26,500.087,500.299,442.951,461.449,34614370.56737588,5881579230.949552
2014-04-27,461.705,464.543,449.103,458.601,26293487.719298247,5789510558.123598
2014-04-28,457.242,459.33,436.39,436.39,8859810.883392226,5732611376.626008
